Wavelength (nm)	Intensity  (1 mm of glass)
376.00	83.700
375.00	83.500
374.00	83.200
373.00	83.000
372.00	82.600
371.00	82.300
370.00	82.100
369.00	81.700
368.00	81.300
367.00	81.000
366.00	80.500
365.00	80.200
364.00	79.800
363.00	79.300
362.00	78.900
361.00	78.300
360.00	77.600
359.00	77.000
358.00	76.400
357.00	75.700
356.00	74.900
355.00	74.100
354.00	73.100
353.00	72.300
352.00	71.300
351.00	70.200
350.00	69.100
349.00	68.000
348.00	66.700
347.00	65.400
346.00	63.700
345.00	61.700
344.00	60.300
343.00	59.000
342.00	57.300
341.00	55.400
340.00	53.700
339.00	51.800
338.00	49.800
337.00	47.600
336.00	45.300
335.00	43.100
334.00	40.900
333.00	38.500
332.00	35.900
331.00	33.300
330.00	30.700
329.00	28.100
328.00	25.700
327.00	23.400
326.00	21.100
325.00	18.800
324.00	16.500
323.00	14.400
322.00	12.500
321.00	10.700
320.00	9.0000
319.00	7.4000
318.00	6.0000
317.00	4.7000
316.00	3.7000
315.00	2.9000
314.00	2.2000
313.00	1.7000
312.00	1.2000
311.00	0.90000
310.00	0.60000
309.00	0.50000
308.00	0.30000
307.00	0.30000
306.00	0.30000
305.00	0.20000
304.00	0.20000
303.00	0.20000
302.00	0.20000
301.00	0.20000
300.00	0.20000
299.00	0.20000
298.00	0.20000
297.00	0.20000
296.00	0.20000
295.00	0.20000
294.00	0.20000
293.00	0.10000
292.00	0.10000
291.00	0.10000
290.00	0.10000
289.00	0.10000
288.00	0.10000
287.00	0.10000
286.00	0.10000
285.00	0.10000
284.00	0.10000
283.00	0.10000
282.00	0.10000
281.00	0.0000
280.00	0.0000
279.00	0.0000
278.00	0.0000
277.00	0.0000
276.00	0.10000
275.00	0.10000
274.00	0.10000
273.00	0.10000
272.00	0.10000
271.00	0.10000
270.00	0.10000
269.00	0.10000
268.00	0.10000
267.00	0.10000
266.00	0.0000
265.00	0.0000
264.00	0.0000
263.00	0.0000
262.00	0.0000
261.00	0.0000
260.00	0.0000
259.00	0.0000
258.00	0.0000
257.00	0.0000
256.00	0.0000
255.00	0.0000
254.00	0.0000
253.00	0.0000
252.00	0.0000
251.00	0.0000
250.00	0.0000
249.00	0.0000
248.00	0.0000
247.00	0.0000
246.00	0.0000
245.00	0.0000
244.00	0.0000
243.00	0.0000
242.00	0.0000
241.00	0.0000
240.00	0.0000
239.00	0.0000
238.00	0.0000
237.00	0.0000
236.00	0.0000
235.00	0.0000
234.00	0.0000
233.00	0.0000
232.00	0.0000
231.00	0.0000
230.00	0.0000
229.00	0.0000
228.00	0.0000
227.00	0.0000
226.00	0.0000
225.00	0.0000
224.00	0.0000
223.00	0.0000
222.00	0.0000
221.00	0.0000
220.00	0.0000
219.00	0.0000
218.00	0.0000
217.00	0.0000
216.00	0.0000
215.00	0.0000
214.00	0.0000
213.00	0.0000
212.00	0.0000
211.00	0.0000
210.00	0.0000
209.00	0.0000
208.00	0.0000
207.00	0.0000
206.00	0.0000
205.00	0.0000
204.00	0.0000
203.00	0.0000
202.00	0.0000
201.00	0.10000
200.00	0.10000
